qid,text,doc_id
365,What if I hired two private eyes and ordered them to follow each other?,doc_182
367,How do I find a startup accelerator?,doc_183
369,How can I check wifi history and access it through android phones?,doc_184
371,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?",doc_185
373,What is the most creative college admissions essay you've read?,doc_186
375,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",doc_187
377,Is it possible to pursue many different things in life?,doc_188
379,Did Ben Affleck shine more than Christian Bale as Batman?,doc_189
381,Which business is good start up in Hyderabad?,doc_190
383,How can I stop being so possessive?,doc_191
385,Who was the wife of Lord Krishna?,doc_192
387,What is the best combination of courses I can take up along with CA to enhance my career?,doc_193
389,How do you take a screenshot on a Mac laptop?,doc_194
391,What is the work of an executive recruiter like?,doc_195
393,Which psychological need does 'collecting' fulfill?,doc_196
395,What are some must watch TV shows before you die?,doc_197
397,How can I become more fluent in Chinese?,doc_198
399,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,doc_199
401,What is the easiest way to become a billionaire($)?,doc_200
403,Are there People who are willing to give free lectures or conduct free workshop in India colleges?,doc_201
405,What's the best way to start learning robotics?,doc_202
407,Why do people hate Hillary Clinton?,doc_203
409,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,doc_204
411,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?",doc_205
413,What is it like to be Jack Dorsey?,doc_206
415,What are the best quotes/lessons of the Assassin's Creed series?,doc_207
417,"Do inkjet printers use color ink when printing black and white documents? If so, why?",doc_208
419,Why is creativity important?,doc_209
421,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?,doc_210
423,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?,doc_211
425,What are the best career growth technologies for automation engineers apart from automation tools?,doc_212
427,What are the disadvantages of listing a company in NSE?,doc_213
429,How many derivatives of an object's position with respect to time have to be continuous?,doc_214
431,Is the neutron star made up of?,doc_215
433,I got a 3.8 GPA. Is it enough to get into top universities like Harvard?,doc_216
435,What is a profitable way to trade binary options?,doc_217
437,How do I utilize free time to avoid depression?,doc_218
439,How can I learn computer security?,doc_219
441,How do I earn from Quora?,doc_220
443,What is my puk code?,doc_221
445,How can I find job in Japan?,doc_222
447,"What are some examples of sentences using the word ""hysteria""?",doc_223
449,Will there be another billion dollar lottery Jackpot?,doc_224
451,How scary is it to drive on the road to Hana given all of the turns?,doc_225
453,How do I create a new shell in a new terminal using C programming (Linux terminal)?,doc_226
455,Does cognition affect perception?,doc_227
457,How TQWL is different from CKWL (Tatkal waiting list)?,doc_228
459,How can we make the world a better place to live in for the future generations?,doc_229
461,How many Champions are there in League of Legends?,doc_230
463,Is drinking 4 liters of water each day unhealthy?,doc_231
465,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?",doc_232
467,Do porn stars watch porn?,doc_233
469,"Trump supporters, how do you feel about the way he's walking back his promises?",doc_234
471,Why are we worried about others' opinions?,doc_235
473,How do you potty train a 4 months Pitbull?,doc_236
475,"If I jump rope for five minutes, how many calories will I use?",doc_237
477,Which online test series is best for GATE 2017 in CS stream?,doc_238
479,What is the best material for understanding algorithmic analysis by a newbie?,doc_239
481,What is the temperament of a Bullmastiff/Husky mix?,doc_240
483,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?",doc_241
485,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?",doc_242
487,What are the signs of an ultra smart person playing dumb?,doc_243
489,If dark energy is created with expansion can infinite of it be created?,doc_244
491,How do you get a book published?,doc_245
493,Who is disrupting Bloomberg?,doc_246
495,Why can flash run so fast?,doc_247
497,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",doc_248
499,How will the implementation of GST bill impact the lives of common people?,doc_249
501,How can you recover your Gmail password?,doc_250
503,How accurately can a mental illness can be diagnosed?,doc_251
505,Is knee pain in a 20 year old girl normal?,doc_252
507,What are the qualities of a good leader?,doc_253
509,"What is the difference between bay, gulf and straits?",doc_254
511,Will Modi win in 2019?,doc_255
513,How can I open DMart store in India? Is there any franchise for that?,doc_256
515,What are the best YouTube channels to learn medicine?,doc_257
517,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,doc_258
519,What will happen if I cancel TQWL tickets before the charting is done?,doc_259
521,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",doc_260
523,How do I choose a journal to publish my paper?,doc_261
525,What are your New Year's resolutions for 2017?,doc_262
527,What do you do if you had a bad dream?,doc_263
531,How many marks should I score for AIIMS rank 151?,doc_264
533,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",doc_265
535,How many months does it take to gain knowledge in developing Android apps from scratch?,doc_266
537,How do I love my body as a guy?,doc_267
539,What are the rights of a prisoner?,doc_268
541,How can I get free gems in Clash of Clans?,doc_269
543,Why aren't there more apps like Word Lens?,doc_270
545,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,doc_271
547,What is the best way to get traffic on your website?,doc_272
549,How do you feel when someone upvotes your answer on Quora?,doc_273
551,What are some of the best films and TV shows that feature strong female protagonists?,doc_274
553,How far would you go for love? Should I wait for the one I love ir move on?,doc_275
555,How do most people die?,doc_276
557,Why are most clothes made of polyester now instead of cotton?,doc_277
559,What is in bone marrow?,doc_278
561,Were there any slave with the name Reddice?,doc_279
563,How long does it take for a dead body to float to the surface after drowning ?,doc_280
565,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,doc_281
567,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,doc_282
569,How can I make money online with free of cost?,doc_283
571,Where can I buy best quality customized cupcakes in Gold Coast?,doc_284
573,How successful was odd even plan?,doc_285
575,If there will be a war between India and Pakistan who will win?,doc_286
577,How do you deal with a fear of dying?,doc_287
579,What would be the estimated cost of repairing the cracked screen of iphone 6?,doc_288
581,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,doc_289
583,"Is there an end to the universe, and if not, is the universe infinite?",doc_290
585,What is CPAGrip.com?,doc_291
587,How much funds should I raise?,doc_292
589,What Anna Hazare think about PM Modi?,doc_293
591,What will be the effect of banning 500 and 1000 notes on stock markets in India?,doc_294
593,How does concentric contractions differ from eccentric contractions?,doc_295
595,Why did the puppet they used for Yoda in Episode I suck so bad?,doc_296
597,On what online platforms can I post ads for beer money opportunity?,doc_297
599,What the meaning of this all life?,doc_298
601,How should I start small business effectively?,doc_299
603,How can we acquire a positive morality?,doc_300
605,Do you need friends?,doc_301
607,Do I exist?,doc_302
609,Which are the best Hollywood thriller movies?,doc_303
611,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",doc_304
613,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,doc_305
615,What job possibilities exist for a Bachelors in Homeland Security?,doc_306
617,Which are the best books to understand calculus?,doc_307
619,Why and how did you break up with her/him?,doc_308
621,Can I use Jio SIM in iPhone 5s?,doc_309
623,What are some unwritten rules in USA?,doc_310
625,What is the best answer to what you did in two years gap in a job interview?,doc_311
627,What are the best songs for low voices?,doc_312
629,Can anyone predict my birth chart?,doc_313
631,When was the birth of the trigonometric functions?,doc_314
633,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?",doc_315
635,What do countries do to prevent war?,doc_316
637,How can I become a billionaire?,doc_317
639,Why should I learn web design?,doc_318
641,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",doc_319
643,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,doc_320
645,Why does understanding death philosophical?,doc_321
647,Why are dogs considered omnivores?,doc_322
649,What it is like to be cheated upon in a relationship?,doc_323
651,How do I know if someone blocked my texts?,doc_324
653,What are the most interesting foods you have eaten in any country?,doc_325
655,What is it like to be a private banker?,doc_326
657,What is journalism for you?,doc_327
659,How can one increase concentration?,doc_328
661,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?",doc_329
663,What are the pros and cons of the German Shepherd dog?,doc_330
665,What is the difference between deism and agnosticism?,doc_331
667,Why do male porn stars masturbate to ejaculate?,doc_332
669,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,doc_333
671,Is there a biological reason that people cry when they are emotional?,doc_334
673,What are 5 facts about the earth's crust?,doc_335
675,Why does ISRO not use friction stir welding technology?,doc_336
677,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,doc_337
679,What would be the best way to quit smoking?,doc_338
681,Which is the best programing language for tcs?,doc_339
683,Earthquake resistant homes?,doc_340
685,Is Kristen Stewart a bad actress? Why or why not?,doc_341
687,Why do some Japanese guys try to look feminine? Don't the girls find it gross?,doc_342
689,What are the five most popular sugar daddy websites?,doc_343
691,What is the VTU 1st sem exam time table of 2016 (Dec)?,doc_344
693,What is the best phone to buy below 15k?,doc_345
695,How do we start a business?,doc_346
697,What's the best near-death experience you've ever had?,doc_347
699,Why do I keep getting fleas from my dogs?,doc_348
701,What year did the letter J come?,doc_349
703,Harvard College Courses: What is general shopping advice for Turkish classes?,doc_350
705,How do I send message from one Android phone to another Android phone through bluetooth?,doc_351
707,What are the most important books ever written?,doc_352
709,What universities does Sigma Designs recruit new grads from? What majors are they looking for?,doc_353
711,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,doc_354
713,What universities does Powell Industries recruit new grads from? What majors are they looking for?,doc_355
715,What are some of the best movie posters you have come across?,doc_356
717,What are some examples of deuteromycota and how are they formed?,doc_357
719,How racist is too racist?,doc_358
721,Are there any differences between however and nevertheless?,doc_359
723,Are Canada Geese really Canadian?,doc_360
725,How do I find the zeros of the polynomial function f(x)=\dfrac{1}{2}x**{3}-3x?,doc_361
727,How do I edit my devices on my Google play account?,doc_362
729,How can I become a good speaker?,doc_363
731,How can I write a letter to Mr. Narendra Modi?,doc_364
733,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,doc_365
735,Why do they name bastards Snow?,doc_366
737,What do you think about the Bermuda Triangle?,doc_367
739,Do Mexican girls like black guys?,doc_368
741,Have you lived in a tiny house?,doc_369
743,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",doc_370
745,Can you debeak cockerels at 8 months old?,doc_371
747,What should someone do to overcome anxiety?,doc_372
749,How do we avoid whey in Yogurt?,doc_373
751,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?",doc_374
753,What is the best university in Germany for an MS?,doc_375
755,How do I maintain my peace of mind?,doc_376
757,Which car has good build quality in india?,doc_377
759,Why does massaging one's temples soothe a migraine or headache?,doc_378
761,Which one is better among KMC Manipal and KMC Mangalore?,doc_379
763,Why are my bestfriend still ignoring me?,doc_380
765,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,doc_381
767,How do I keep motivation to learn a language?,doc_382
769,What are the top assessment companies in India?,doc_383
771,What does @ mean as an emoticon?,doc_384
773,Is a pinkish discharge normal in early pregnancy? What causes it?,doc_385
775,What are the best ways to properly finger yourself?,doc_386
777,How do scientists work?,doc_387
779,How many sponsored candidates are shortlisted for CMC vellore?,doc_388
781,What is the different between Chinese wedding ceremony and western wedding ceremony?,doc_389
783,What is the condition of tourism in Pakistan?,doc_390
785,What is the different between offshore and onshore funds?,doc_391
787,Why should one hate Shahrukh Khan?,doc_392
789,What are the best self-help books you've ever read?,doc_393
791,Is Evernote useful?,doc_394
793,A title for my continuation to The Gift of the Magi?,doc_395
795,What is a good song to lyric prank your best friend?,doc_396
797,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?,doc_397
799,How do I pass a drug test for methamphetamine?,doc_398
801,How could start with open source development?,doc_399
803,Why do dreams look so real?,doc_400
805,Do cricket players really drink tea on a tea break?,doc_401
807,How can I get entry in MIT?,doc_402
809,Does a fetus breathe when it's inside a womb?,doc_403
811,What are movies with incest scenes?,doc_404
813,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",doc_405
815,"According to the International Federation of Robotics, how many robots existed in 2012?",doc_406
817,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?",doc_407
819,Do you regret your divorce?,doc_408
821,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",doc_409
823,Is it right to tell a girl the you have feelings for her?,doc_410
825,"Is Donald Trump taking cocaine, as Howard Dean suggests?",doc_411
827,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",doc_412
829,Which is more financially beneficial: being in a firm or teaching in an architecture college?,doc_413
831,How can I see the Comedy Nights with Kapil live show?,doc_414
833,Why is sandeep maheshwari not on Quora?,doc_415
835,What is the biggest monster in Monster Hunter?,doc_416
837,How can I convince people to stop blaspheming against the Holy Spirit?,doc_417
839,Why can't I stop watching porn?,doc_418
841,How can I start trusting any one?,doc_419
843,What's your bucket list?,doc_420
845,How did you first come across porn?,doc_421
847,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",doc_422
849,Why can’t charged molecules pass through the lipid cell membrane?,doc_423
851,How does it feel to be a spouse of a renowned porn star?,doc_424
853,What is the best hostel booking affiliate program?,doc_425
855,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?",doc_426
857,What can I eat every day to be more healthy?,doc_427
859,How do I make free calls to family members on Airtel Andhra Pradesh?,doc_428
861,What would Hillary Clinton do now that the election is over?,doc_429
863,Should I use Vicks Vapor Rub for a stuffy nose?,doc_430
865,How I start prepare for UGC net English literature latest syllabus?,doc_431
867,How did early Europeans get protein before the Columbian Exchange?,doc_432
869,What is the best forum for graphic designers?,doc_433
871,Is Alex Jones a satirical show?,doc_434
873,Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,doc_435
875,Why can't we fall asleep on some days?,doc_436
877,Which Marvel movies have not included Stan Lee cameos?,doc_437
879,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,doc_438
881,What does the 10/6 label on the Mad Hatter's hat mean?,doc_439
883,Who wrote the Kars for Kids jingle?,doc_440
885,Why is Saltwater Taffy candy imported in Greece?,doc_441
887,What are the minimum requirements to enter MIT?,doc_442
889,How do you answer a question on Quora?,doc_443
891,Israel vs Iran: who would win?,doc_444
893,When is it too late to learn the piano?,doc_445
895,What are natural numbers?,doc_446
897,Is One Plus 3T 4G VoLTE enabled phone?,doc_447
899,How do I enter a new email ID which I can access to recover my Facebook ID?,doc_448
901,How we can travel faster than light?,doc_449
903,What is it like being a firefighter?,doc_450
905,What are the factors that causes data inconsistency in distributed platform/application?,doc_451
907,What are the differences between POCSO and sexual offenses in the IPC?,doc_452
909,"What is an alternative for the word ""is""?",doc_453
911,What is considered an illegal screen in the NBA?,doc_454
913,Nothing excites me anymore. How do I regain that excitement?,doc_455
915,What are the life lessons that Batman teaches us?,doc_456
917,How do you stop a criminal's attempt to kidnap you so you escape unharmed?,doc_457
919,How do I sell on Amazon?,doc_458
921,Daniel Ek: When an we expect Spotify in India?,doc_459
923,What are the top 10 books one should read in his or her early 20s?,doc_460
925,Which book should I start with for the GATE preparation?,doc_461
927,"What does the phrase ""He who does not love abides in death"" exactly mean?",doc_462
929,What is similar to 4Shared?,doc_463
931,Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?,doc_464
933,Considering the current trend of information technology what is the future of print media?,doc_465
935,What is the best recipe for chicken pizza?,doc_466
937,What are some good places to learn mountaineering in India?,doc_467
939,Do new table tennis balls damage rubbers?,doc_468
941,My new Xbox one S can't connect to internet during setup. Any solutions?,doc_469
943,Is it wrong for me to be content with my life?,doc_470
945,Is gravity only a theory?,doc_471
947,How could I become a fighter pilot when I have less than the required eyesight?,doc_472
949,Operation executive salary in Infosys?,doc_473
951,Have cavemen been scientifically tested?,doc_474
953,Can climate change be reversed?,doc_475
955,How should ask my crush for her number?,doc_476
957,Why do I believe that gravitation force exist?,doc_477
959,Did Mahabharata really happen?,doc_478
961,Can Congress stop Presidents from starting a major war?,doc_479
963,Is it safe to lose 25 pounds in 1 month?,doc_480
965,What are some cute shounen ai series?,doc_481
967,Why are police lights red and blue?,doc_482
969,How do I post a question that was marked as needing improvement?,doc_483
971,Who owns nature?,doc_484
973,How can I install OBB/data file on an Android?,doc_485
975,What is garbage value? And Why do we get garbage value in c?,doc_486
977,How do I prepare for software interviews?,doc_487
979,Does Rahul Gandhi have any chance to become next PM of India after Modi?,doc_488
981,Is noon 12 am or 12 pm?,doc_489
983,What is the difference between a comet and an asteroid?,doc_490
985,Is chocolate milk good for you?,doc_491
987,How should I study,doc_492
989,Which country is best for higher education and work?,doc_493
991,What is the painting on this image?,doc_494
993,Which are the major highways in California and how are they compared to the major highways in Tennessee?,doc_495
995,What's beyond our Universe?,doc_496
997,Is growing of hair a physical or a chemical change?,doc_497
999,What is the difference between culture and history?,doc_498
1001,What does it mean when a guy says I like you?,doc_499
